Date;Price;Stop;Margin;Diff
2017.08.31 01:28:47;386.677;382.180;4.497;4.497
2017.08.31 01:29:18;386.677;382.180;4.497;4.497
2017.08.31 01:29:49;386.210;382.180;4.497;4.030
2017.08.31 01:30:20;386.210;382.180;4.497;4.030
2017.08.31 01:30:51;386.300;381.803;4.497;4.497
2017.08.31 01:31:22;386.299;381.803;4.497;4.496
2017.08.31 01:31:53;386.676;382.179;4.497;4.497
2017.08.31 01:32:24;386.676;382.179;4.497;4.497
2017.08.31 01:32:55;386.676;382.179;4.497;4.497
2017.08.31 01:33:26;386.676;382.179;4.497;4.497
2017.08.31 01:33:57;386.510;382.179;4.497;4.331
2017.08.31 01:34:28;386.600;382.103;4.497;4.497
2017.08.31 01:34:59;386.560;382.103;4.497;4.457
2017.08.31 01:35:29;386.599;382.102;4.497;4.497
2017.08.31 01:35:59;386.570;382.102;4.497;4.468
2017.08.31 01:36:30;386.226;382.102;4.497;4.124
2017.08.31 01:37:01;386.459;381.962;4.497;4.497
2017.08.31 01:37:32;386.595;382.098;4.497;4.497
2017.08.31 01:38:03;386.594;382.098;4.497;4.496
2017.08.31 01:38:36;385.500;382.098;4.497;3.402
2017.08.31 01:39:07;385.500;382.098;4.497;3.402
2017.08.31 01:39:39;386.500;382.003;4.497;4.497
2017.08.31 01:40:09;386.200;382.003;4.497;4.197
2017.08.31 01:40:40;386.200;382.003;4.497;4.197
2017.08.31 01:41:10;385.500;382.003;4.497;3.497
2017.08.31 01:41:40;385.500;382.003;4.497;3.497
2017.08.31 01:42:10;386.159;381.662;4.497;4.497
2017.08.31 01:42:41;385.499;381.662;4.497;3.837
2017.08.31 01:43:11;385.000;381.662;4.497;3.338
2017.08.31 01:43:42;384.999;381.662;4.497;3.337
2017.08.31 01:44:13;385.000;380.503;4.497;4.497
2017.08.31 01:44:43;385.000;380.503;4.497;4.497
2017.08.31 01:45:14;385.000;380.503;4.497;4.497
2017.08.31 01:45:45;385.000;380.503;4.497;4.497
2017.08.31 01:46:16;384.821;380.503;4.497;4.318
2017.08.31 01:46:46;384.810;380.503;4.497;4.307
2017.08.31 01:47:17;384.760;380.503;4.497;4.257
2017.08.31 01:47:48;383.518;380.503;4.497;3.015
2017.08.31 01:48:19;384.758;380.261;4.497;4.497
2017.08.31 01:48:50;384.500;380.261;4.497;4.239
2017.08.31 01:49:20;384.420;380.261;4.497;4.159
2017.08.31 01:49:52;384.420;380.261;4.497;4.159
2017.08.31 01:50:23;384.500;380.003;4.497;4.497
2017.08.31 01:50:54;384.680;380.183;4.497;4.497
2017.08.31 01:51:24;384.680;380.183;4.497;4.497
